report_id,pair_type,exact_match_normalized,chrf_pt_pt,cosine_pt_pt,bertscore_f1_pt_pt,category_match,measures_match,laterality_match,negation_match,duplicate_structural_instability,requires_mqm_review
RPT_000757,effective_duplicate,True,97.524,0.9963,0.9953,True,True,True,True,False,False
RPT_000758,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000759,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000760,effective_duplicate,False,88.87,0.9915,0.9819,True,True,True,True,False,False
RPT_000761,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000762,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000763,effective_duplicate,False,93.134,0.9919,0.984,True,True,True,True,False,False
RPT_000764,effective_duplicate,False,98.809,1.0,0.9976,True,True,True,True,False,False
RPT_000765,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000766,effective_duplicate,False,94.771,0.996,0.991,True,True,True,True,False,False
RPT_000767,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000768,effective_duplicate,False,90.291,0.9902,0.9859,True,True,True,True,False,False
RPT_000769,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000770,effective_duplicate,False,95.3,0.994,0.9909,True,True,True,True,False,False
RPT_000771,effective_duplicate,False,97.891,0.9994,0.9976,True,True,True,True,False,False
RPT_000772,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000773,effective_duplicate,False,94.13,0.9996,0.9897,True,True,True,True,False,False
RPT_000774,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000775,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000776,effective_duplicate,False,96.839,0.9981,0.997,True,True,True,True,False,False
RPT_000777,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000778,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000779,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000780,effective_duplicate,False,99.006,0.9996,0.9995,True,True,True,True,False,False
RPT_000781,effective_duplicate,False,94.305,0.9842,0.9812,True,True,True,True,False,False
RPT_000782,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000783,effective_duplicate,False,96.521,0.9983,0.9973,True,True,True,True,False,False
RPT_000784,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000785,effective_duplicate,False,98.494,0.9997,0.9983,True,True,True,True,False,False
RPT_000786,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000787,effective_duplicate,True,97.941,1.0,0.9953,True,True,True,True,False,False
RPT_000788,effective_duplicate,False,96.934,0.9997,0.9941,True,True,True,True,False,False
RPT_000789,effective_duplicate,False,95.209,0.9883,0.9907,True,True,True,True,False,False
RPT_000790,effective_duplicate,False,99.359,1.0,0.999,True,True,True,True,False,False
RPT_000791,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000792,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000793,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000794,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000795,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000796,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000797,effective_duplicate,False,95.768,1.0,0.9918,True,True,True,True,False,False
RPT_000798,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000799,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000800,effective_duplicate,False,91.495,1.0,0.9868,True,True,True,True,False,False
RPT_000801,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000802,effective_duplicate,True,99.266,1.0,0.9986,True,True,True,True,False,False
RPT_000803,effective_duplicate,False,90.535,0.9941,0.9903,True,True,True,True,False,False
RPT_000804,effective_duplicate,False,87.629,0.9668,0.9822,True,True,True,True,False,False
RPT_000805,effective_duplicate,False,98.79,1.0,0.9989,True,True,True,True,False,False
RPT_000806,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000807,effective_duplicate,False,97.599,1.0,0.9907,True,True,True,True,False,False
RPT_000808,effective_duplicate,False,98.638,0.9994,0.9985,True,True,True,True,False,False
RPT_000809,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000810,effective_duplicate,False,98.671,1.0,0.9988,True,True,True,True,False,False
RPT_000811,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000812,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000813,effective_duplicate,False,97.634,1.0,0.9948,True,True,True,True,False,False
RPT_000814,effective_duplicate,False,94.665,0.9942,0.9958,True,True,True,True,False,False
RPT_000815,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000816,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000817,effective_duplicate,False,98.697,0.9998,0.9994,True,True,True,True,False,False
RPT_000818,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000819,effective_duplicate,False,99.018,1.0,0.9995,True,True,True,True,False,False
RPT_000820,effective_duplicate,False,93.868,0.9971,0.9864,True,True,True,True,False,False
